DATAS,HORÁRIO,ATIVIDADE,LOCAL
01.08.24,09h às 17h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de Campos dos Goytacazes    Aquicultura - Turma 1 Módulo 3,Unidade Escola de Produção Aquícola (UEPA) Campos dos Goytacazes - UENF 
03 e 17/08/2024,09h às 17h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos        Turma 3 – Arraial do Cabo,Sede Pescarte Arraial do Cabo
03 e 31/08/2024,09h às 17h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de Rio das Ostras – Aquicultura    Turma 2 – Módulo 1,Sede Pescarte    Rio das Ostras
03 e 17/08/2024,09h às 17h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de Campos dos Goytacazes            Aquicultura – Turma 2 Módulo 3,Unidade Escola de Produção Aquícola (UEPA) Campos dos Goytacazes - UENF 
05 e 12/08/2024,18h às 22h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 1 Búzios,Sede Pescarte Búzios
"05, 12, 14 e 16/08/2024",15h às 19h,Oficina em Gestão de Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 1 São Francisco de Itabapoana,Barracão de Gargaú               São Francisco de Itabapoana
"06, 13, 20 e 27/08/2024",14h às 18h,Oficina em Gestão de Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 1 São João da Barra,Sede Pescarte   São João da Barra
"07, 08 e 09/08/2024",08h às 18h,11ª Reunião de Avaliação e Realinhamento de Equipe ,Hotel Cravo e Canela         Campos dos Goytacazes
12.08.24,09h às 17h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de Campos dos Goytacazes            Aquicultura – Turma 3 Módulo 2,Unidade Escola de Produção Aquícola (UEPA) Campos dos Goytacazes - UENF 
12.08.24,18h às 20h,16ª Reunião do Grupo de Acompanhamento de Obras de Cabo Frio,Sede Pescarte Cabo Frio
"12, 14, 19 e 21/08/2024",18h às 22h,Oficina de Gestão em Empreendimentos Solidários: Gestão Ambiental Pública dos Recursos Pesqueiros Turma 2 – Carapebus,Sede Pescarte Carapebus 
"13, 15, 20 e 22/08/2024",18h às 22h,Oficina de Gestão em Empreendimentos Solidários: Gestão Ambiental Pública dos Recursos Pesqueiros  Turma 4 - Macaé,Sede Pescarte Macaé
13 e 27/08/2024,18h às 22h,Oficina de Gestão em Empreendimentos Solidários: Gestão Ambiental Pública dos Recursos Pesqueiros  Turma 2 – Arraial do Cabo,Colégio Municipal Vera Felizardo Arraial do Cabo
"14, 21, 28 e 29/08/2024",18h às 22h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 1 Rio das Ostras,Sede Pescarte     Rio das Ostras
14 e 28/08/2024,18h às 22h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 2 Arraial do Cabo,Sede Pescarte Arraial do Cabo
"14, 21 e 28/08/2024",18h às 22h, Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 2 Búzios,Sede Pescarte Búzios
"15, 16, 22 e 23/08/2024",14h às 18h,Oficina em Gestão de Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 1 Quissamã,Sede Pescarte Quissamã
17 e 24/08/2024,09h às 17h,"Oficina técnica para os
grupos de trabalho por
empreendimento em
processos ligados à sua
natureza com os sujeitos da
ação educativa de
Carapebus – Aquicultura 
Turma 1 - Módulo 2",Sede Pescarte Carapebus
17 e 24/08/2024,09h às 17h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos -Turma 2 Rio das Ostras,Sede Pescarte Rio das Ostras
17 e 24/08/2024,09h às 17h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos        Turma 2 – Macaé,Sede Pescarte Macaé
"19, 21, 26 e 28/08/2024",14h às 18h,Oficina de Gestão em Análise de Risco dos Empreendimentos         Turma 1 - São Francisco de Itabapoana,Centro Cultural Luz da Barra Barra do Itabapoana 
"19, 21, 26 e 28/08/2024",14h às 18h,Oficina em Gestão de Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos        Turma 1 – Campos dos Goytacazes,Escola Municipal Claudia Almeida Farol de São Thomé
19 e 26/08/2024,18h às 22h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 3 Búzios ,Sede Pescarte Búzios
20 e 21/08/2024,08h às 18h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de Cabo Frio Aquicultura – Turma - 1 Módulo 2,Sede Pescarte Cabro Frio
"20, 23, 27 e 30/08/2024",14h às 18h,Oficina em Gestão de Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos        Turma 2 – Campos dos Goytacazes,Escola Municipal Claudia Almeida  Vila do Sol       Farol de São Thomé
22.08.24,19h às 21h,15ª Reunião do Grupo Gestor de Rio das Ostras,Sede Pescarte Rio das Ostras
24 e 31/08/2024,09h às 17h,Oficina de Gestão em Análise de Risco dos Empreendimentos         Turma 1 – Cabo Frio,Sede Pescarte Cabo Frio
24 e 31/08/2024,09h às 17h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de São João da Barra - Aquicultura Turma 1 – Módulo 3 ,Unidade Escola de Produção Aquícola (UEPA) Campos dos Goytacazes - UENF 
24 e 31/08/2024,09 às 17h,Oficina de Gestão em Análise de Risco dos Empreendimentos         Turma 1 – Arraial do Cabo,Sede Pescarte  Arraial do Cabo
24 e 31/08/2024,09h às 17h,Oficina de Gestão em Análise de Risco dos Empreendimentos         Turma 1 – Quissamã,Sede Pescarte Quissamã 
27.08.24,08h30min às 12h30min,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 2 Cabo Frio,Rede Observação Cabo Frio
28.08.24,13h30min às 17h30min,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 3 Cabo Frio,Colégio Estadual da Praia do Siqueira Cabo Frio
29.08.24,15h às 17h,"Sessão de Encontros: mulheres e direitos, articulação do Núcleo de Direitos e Benefícios (NDB PEA Pescarte)",Virtual
